Amount,DeviceID,ReturnCount,CouponUsed,HourOfDay,DayOfWeek,Month,TimeSinceLastTransaction,TransactionsInLastHour,AmountInLastHour,CustomerAge,ProductPrice,CustomerLocation,ProductCategory,IsFraud
3749.080237694725,desktop,7,0,23,4,5,9.361118426546192,5,5299.924747454009,28,4732.352291549871,Mexico,Home & Garden,1
4416.145155592091,mobile,9,0,2,3,6,0.0467259504608597,6,5550.213529560301,29,4223.306320976562,US,Home & Garden,1
3046.1248500828315,tablet,7,0,3,1,12,58.42533113048755,5,6368.209952651108,20,3764.9239825343257,Mexico,Home & Garden,1
3933.52578649596,desktop,7,0,3,4,9,3.903095579116771,6,7826.605267054558,19,3770.833005079832,Canada,Groceries,1
3461.787651244298,tablet,8,0,3,3,8,2.0633112669131037,4,6173.181822719722,19,4325.044568707964,Canada,Electronics,1
4040.1360423556216,mobile,8,0,2,4,2,46.50796940166687,4,6185.450708005443,21,4195.79995762217,Mexico,Clothing,1
3176.985004103839,tablet,8,0,0,5,8,50.67203092068908,3,5814.047095321688,22,4173.502331327696,US,Home & Garden,1
4214.068495373369,desktop,5,0,0,6,1,0.9381844044716359,3,7316.734307889972,29,3586.9763494360764,UK,Clothing,1
3397.68480817761,tablet,7,0,0,2,5,55.57805271080094,4,5347.607178575389,24,4700.077155579598,Mexico,Electronics,1
3190.8202329808228,tablet,9,0,3,3,8,16.48330757940385,5,6416.644775485848,22,4943.424190778207,UK,Groceries,1
2193.0156113781322,tablet,2,0,20,6,10,83.89397913944947,0,684.9856867726489,61,1945.590192664963,Mexico,Groceries,0
1574.8550043776381,mobile,4,0,12,4,11,250.87755125068324,0,323.2417385034997,51,2653.3567331442473,Canada,Groceries,0
957.3376889293705,desktop,3,1,17,3,4,899.0054585805791,2,1040.6005609152944,57,1133.2637304232271,Canada,Groceries,0
889.1835232154424,tablet,0,1,18,0,3,66.53500269931926,2,1310.4919091314591,66,2108.0644953817837,Canada,Home & Garden,0
807.9640145185451,tablet,0,1,6,5,1,298.680489098284,1,2119.282391235386,32,972.547098468632,US,Home & Garden,0
206.97214732814513,desktop,1,1,17,5,7,321.92767638241475,0,1939.618899633955,31,1639.7102916196955,Canada,Home & Garden,0
1703.389958306851,tablet,3,0,16,2,1,744.523367695148,0,1933.6869087213804,35,1256.5908830892038,UK,Home & Garden,0
2415.200862455198,desktop,3,0,11,4,3,615.4393665969473,2,738.6990379400901,55,1585.0698690679149,UK,Home & Garden,0
1971.0010921874045,desktop,0,1,21,6,2,847.4474995528883,2,1089.0924180457496,54,706.3077001393697,UK,Electronics,0
2117.7747581007384,tablet,3,1,15,0,4,557.8715436546461,1,2989.1357292979806,41,1719.051015460583,Mexico,Clothing,0
